Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","1961","1961","kcal/capita/day","2529","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","1962","1962","kcal/capita/day","2458","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","1963","1963","kcal/capita/day","2213","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","1964","1964","kcal/capita/day","2444","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","1965","1965","kcal/capita/day","2431","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","1966","1966","kcal/capita/day","2198","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","1967","1967","kcal/capita/day","2397","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","1968","1968","kcal/capita/day","2336","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","1969","1969","kcal/capita/day","2370","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","1970","1970","kcal/capita/day","1995","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","1971","1971","kcal/capita/day","2028","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","1972","1972","kcal/capita/day","2186","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","1973","1973","kcal/capita/day","2220","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","1974","1974","kcal/capita/day","2197","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","1975","1975","kcal/capita/day","2225","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","1976","1976","kcal/capita/day","2255","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","1977","1977","kcal/capita/day","1989","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","1978","1978","kcal/capita/day","2102","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","1979","1979","kcal/capita/day","2087","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","1980","1980","kcal/capita/day","1920","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","1981","1981","kcal/capita/day","1917","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","1982","1982","kcal/capita/day","1873","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","1983","1983","kcal/capita/day","1887","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","1984","1984","kcal/capita/day","1816","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","1985","1985","kcal/capita/day","1794","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","1986","1986","kcal/capita/day","1793","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","1987","1987","kcal/capita/day","2175","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","1988","1988","kcal/capita/day","1926","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","1989","1989","kcal/capita/day","1827","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","1990","1990","kcal/capita/day","1689","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","1991","1991","kcal/capita/day","1476","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","1992","1992","kcal/capita/day","1356","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","1993","1993","kcal/capita/day","1438","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","1994","1994","kcal/capita/day","1358","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","1995","1995","kcal/capita/day","1309","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","1996","1996","kcal/capita/day","1322","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","1997","1997","kcal/capita/day","1388","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","1998","1998","kcal/capita/day","1400","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","1999","1999","kcal/capita/day","1321","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2000","2000","kcal/capita/day","1335","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2001","2001","kcal/capita/day","1344","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2002","2002","kcal/capita/day","1395","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2003","2003","kcal/capita/day","1452","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2004","2004","kcal/capita/day","1490","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2005","2005","kcal/capita/day","1426","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2006","2006","kcal/capita/day","1499","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2007","2007","kcal/capita/day","1570","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2008","2008","kcal/capita/day","1577","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2009","2009","kcal/capita/day","1597","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2010","2010","kcal/capita/day","1592","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2011","2011","kcal/capita/day","1597","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2012","2012","kcal/capita/day","1573","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2013","2013","kcal/capita/day","1561","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","3","Albania","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","1961","1961","kcal/capita/day","1460","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","3","Albania","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","1962","1962","kcal/capita/day","1472","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","3","Albania","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","1963","1963","kcal/capita/day","1422","Fc","Calculated data"
