Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2919","Fruits - Excluding Wine","1961","1961","kcal/capita/day","60","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2919","Fruits - Excluding Wine","1962","1962","kcal/capita/day","54","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2919","Fruits - Excluding Wine","1963","1963","kcal/capita/day","56","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2919","Fruits - Excluding Wine","1964","1964","kcal/capita/day","71","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2919","Fruits - Excluding Wine","1965","1965","kcal/capita/day","71","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2919","Fruits - Excluding Wine","1966","1966","kcal/capita/day","65","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2919","Fruits - Excluding Wine","1967","1967","kcal/capita/day","78","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2919","Fruits - Excluding Wine","1968","1968","kcal/capita/day","81","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2919","Fruits - Excluding Wine","1969","1969","kcal/capita/day","81","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2919","Fruits - Excluding Wine","1970","1970","kcal/capita/day","73","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2919","Fruits - Excluding Wine","1971","1971","kcal/capita/day","52","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2919","Fruits - Excluding Wine","1972","1972","kcal/capita/day","64","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2919","Fruits - Excluding Wine","1973","1973","kcal/capita/day","69","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2919","Fruits - Excluding Wine","1974","1974","kcal/capita/day","65","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2919","Fruits - Excluding Wine","1975","1975","kcal/capita/day","65","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2919","Fruits - Excluding Wine","1976","1976","kcal/capita/day","58","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2919","Fruits - Excluding Wine","1977","1977","kcal/capita/day","36","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2919","Fruits - Excluding Wine","1978","1978","kcal/capita/day","46","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2919","Fruits - Excluding Wine","1979","1979","kcal/capita/day","39","Fc","Calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2919","Fruits - Excluding Wine","1980","1980","kcal/capita/day","46","Fc","Calculated data"
