measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
29,Summary exposure value,8,Taiwan (Province of China),1,Male,22,All Ages,107,High systolic blood pressure,3,Rate,1990,21.3120023685454,24.9489432172465,17.7739656449101
29,Summary exposure value,8,Taiwan (Province of China),2,Female,22,All Ages,107,High systolic blood pressure,3,Rate,1990,17.800803968170698,20.776992649923198,14.909889488076903
29,Summary exposure value,8,Taiwan (Province of China),3,Both,22,All Ages,107,High systolic blood pressure,3,Rate,1990,19.6217890623985,22.1714236383112,17.132638543804397
29,Summary exposure value,176,Comoros,1,Male,22,All Ages,107,High systolic blood pressure,3,Rate,1990,24.702742156646266,31.599242387187143,18.58436619368015
29,Summary exposure value,176,Comoros,2,Female,22,All Ages,107,High systolic blood pressure,3,Rate,1990,24.55614705514235,34.454179055139456,16.580000422563092
29,Summary exposure value,176,Comoros,3,Both,22,All Ages,107,High systolic blood pressure,3,Rate,1990,24.62666296412485,30.92431165424881,18.869056827650915
29,Summary exposure value,68,Republic of Korea,1,Male,22,All Ages,107,High systolic blood pressure,3,Rate,1992,18.348467907048498,21.817078022039603,14.937008600596801
29,Summary exposure value,68,Republic of Korea,2,Female,22,All Ages,107,High systolic blood pressure,3,Rate,1992,16.5030549928027,18.941826534110202,14.232852038786403
29,Summary exposure value,68,Republic of Korea,3,Both,22,All Ages,107,High systolic blood pressure,3,Rate,1992,17.405704459406397,19.7646337248278,15.0971790193275
29,Summary exposure value,180,Kenya,1,Male,22,All Ages,107,High systolic blood pressure,3,Rate,1990,22.961389929769783,30.31798104628431,17.232548099584903
29,Summary exposure value,180,Kenya,2,Female,22,All Ages,107,High systolic blood pressure,3,Rate,1990,29.392091474217562,39.21396068456482,20.9489726849071
29,Summary exposure value,180,Kenya,3,Both,22,All Ages,107,High systolic blood pressure,3,Rate,1990,26.22358383735846,32.46560971570279,20.954118039764417
29,Summary exposure value,10,Cambodia,1,Male,22,All Ages,107,High systolic blood pressure,3,Rate,1990,15.494694000377402,21.1640496641573,11.3170285948634
29,Summary exposure value,10,Cambodia,2,Female,22,All Ages,107,High systolic blood pressure,3,Rate,1990,15.761469866857903,23.4059895017338,10.040169399164398
29,Summary exposure value,10,Cambodia,3,Both,22,All Ages,107,High systolic blood pressure,3,Rate,1990,15.644446395524803,20.556741729954002,11.789640290308698
29,Summary exposure value,69,Singapore,1,Male,22,All Ages,107,High systolic blood pressure,3,Rate,1992,16.777627571012502,19.2352332380356,14.4506352098931
29,Summary exposure value,69,Singapore,2,Female,22,All Ages,107,High systolic blood pressure,3,Rate,1992,14.3723822225048,16.696511340507,12.248154983783301
29,Summary exposure value,69,Singapore,3,Both,22,All Ages,107,High systolic blood pressure,3,Rate,1992,15.561081127338902,17.4707716166061,13.7500460379393
29,Summary exposure value,35,Georgia,1,Male,22,All Ages,107,High systolic blood pressure,3,Rate,1993,50.359559510210794,56.115920257538,45.0521325772762
29,Summary exposure value,35,Georgia,2,Female,22,All Ages,107,High systolic blood pressure,3,Rate,1993,44.543385245186606,51.552878575958104,37.488808001089296
29,Summary exposure value,35,Georgia,3,Both,22,All Ages,107,High systolic blood pressure,3,Rate,1993,47.1705926107047,52.182383384558605,42.497596106987004
29,Summary exposure value,6,China,1,Male,22,All Ages,107,High systolic blood pressure,3,Rate,1990,15.8019991898017,20.75303089303416,11.758200078242835
29,Summary exposure value,6,China,2,Female,22,All Ages,107,High systolic blood pressure,3,Rate,1990,17.697186355471015,25.180420472224945,12.021518184711585
29,Summary exposure value,6,China,3,Both,22,All Ages,107,High systolic blood pressure,3,Rate,1990,16.723947172243665,20.84985121855846,13.135801557380908
29,Summary exposure value,72,New Zealand,1,Male,22,All Ages,107,High systolic blood pressure,3,Rate,1992,30.482603693824302,32.7208474362156,28.129813721851598
29,Summary exposure value,72,New Zealand,2,Female,22,All Ages,107,High systolic blood pressure,3,Rate,1992,27.494295774482104,29.557340354850798,25.556921049410704
29,Summary exposure value,72,New Zealand,3,Both,22,All Ages,107,High systolic blood pressure,3,Rate,1992,28.937208954343202,30.8532785205335,27.181421982632504
29,Summary exposure value,75,Austria,1,Male,22,All Ages,107,High systolic blood pressure,3,Rate,1992,33.85879111842504,38.16437553412115,29.833915716849347
29,Summary exposure value,75,Austria,2,Female,22,All Ages,107,High systolic blood pressure,3,Rate,1992,34.56576226580287,40.89455227130502,28.631851286180005
29,Summary exposure value,75,Austria,3,Both,22,All Ages,107,High systolic blood pressure,3,Rate,1992,34.2350133031765,38.47613562655082,30.229044437177087
29,Summary exposure value,99,Uruguay,1,Male,22,All Ages,107,High systolic blood pressure,3,Rate,1991,26.956854153628363,33.6807655494297,21.658016316020568
29,Summary exposure value,99,Uruguay,2,Female,22,All Ages,107,High systolic blood pressure,3,Rate,1991,26.9214237696738,35.644256342531214,19.665818296076434
29,Summary exposure value,99,Uruguay,3,Both,22,All Ages,107,High systolic blood pressure,3,Rate,1991,26.938123093158616,32.541365630254354,22.00772080722853
29,Summary exposure value,102,United States of America,1,Male,22,All Ages,107,High systolic blood pressure,3,Rate,1991,23.892051065421946,26.23106833012825,21.657483023143563
29,Summary exposure value,102,United States of America,2,Female,22,All Ages,107,High systolic blood pressure,3,Rate,1991,24.856650762457466,26.789894860119585,22.84862673705284
29,Summary exposure value,102,United States of America,3,Both,22,All Ages,107,High systolic blood pressure,3,Rate,1991,24.39844687146662,26.189740142876726,22.62555510300335
29,Summary exposure value,217,Sierra Leone,1,Male,22,All Ages,107,High systolic blood pressure,3,Rate,1993,37.042744410619804,42.3264222458119,32.3161298073977
29,Summary exposure value,217,Sierra Leone,2,Female,22,All Ages,107,High systolic blood pressure,3,Rate,1993,36.1940070735042,43.1539707444122,30.3131664687944
29,Summary exposure value,217,Sierra Leone,3,Both,22,All Ages,107,High systolic blood pressure,3,Rate,1993,36.6002922557822,40.7801000204935,32.5291140486464
29,Summary exposure value,177,Djibouti,1,Male,22,All Ages,107,High systolic blood pressure,3,Rate,1990,18.3804716148744,24.9047887291853,12.982289464094501
29,Summary exposure value,177,Djibouti,2,Female,22,All Ages,107,High systolic blood pressure,3,Rate,1990,17.0100266155256,26.577351735467296,10.0431910125423
29,Summary exposure value,177,Djibouti,3,Both,22,All Ages,107,High systolic blood pressure,3,Rate,1990,17.7469386124036,23.668229999852,12.862713658665301
29,Summary exposure value,101,Canada,1,Male,22,All Ages,107,High systolic blood pressure,3,Rate,1991,24.192844352745702,27.0109119466772,21.4061022625865
29,Summary exposure value,101,Canada,2,Female,22,All Ages,107,High systolic blood pressure,3,Rate,1991,20.4391270162472,23.339404227183397,17.497246248976403
29,Summary exposure value,101,Canada,3,Both,22,All Ages,107,High systolic blood pressure,3,Rate,1991,22.2553042144503,24.5716836042633,19.951285741796102
29,Summary exposure value,66,Brunei Darussalam,1,Male,22,All Ages,107,High systolic blood pressure,3,Rate,1992,24.5789667685167,31.6475005166572,19.053935741824997
29,Summary exposure value,66,Brunei Darussalam,2,Female,22,All Ages,107,High systolic blood pressure,3,Rate,1992,19.044323836590802,26.5516458255612,12.887904723481697
29,Summary exposure value,66,Brunei Darussalam,3,Both,22,All Ages,107,High systolic blood pressure,3,Rate,1992,22.0229618701607,27.3126724596804,17.4412243305374
29,Summary exposure value,7,Democratic People's Republic of Korea,1,Male,22,All Ages,107,High systolic blood pressure,3,Rate,1990,31.907391216619203,40.301656436090404,24.992697379688398
29,Summary exposure value,7,Democratic People's Republic of Korea,2,Female,22,All Ages,107,High systolic blood pressure,3,Rate,1990,38.370206253435796,51.4824642136812,28.100727562460104
29,Summary exposure value,7,Democratic People's Republic of Korea,3,Both,22,All Ages,107,High systolic blood pressure,3,Rate,1990,35.3878324221721,43.82401555539229,28.1928681905807
29,Summary exposure value,67,Japan,1,Male,22,All Ages,107,High systolic blood pressure,3,Rate,1992,40.34292015118226,42.17409393465266,38.46398955655389
29,Summary exposure value,67,Japan,2,Female,22,All Ages,107,High systolic blood pressure,3,Rate,1992,37.34157375381741,39.08144907997437,35.63141566104585
29,Summary exposure value,67,Japan,3,Both,22,All Ages,107,High systolic blood pressure,3,Rate,1992,38.78634209260953,40.399022775976974,37.3046671664698
29,Summary exposure value,179,Ethiopia,1,Male,22,All Ages,107,High systolic blood pressure,3,Rate,1990,7.938982705978121,10.532762281660379,5.774768544659084
29,Summary exposure value,179,Ethiopia,2,Female,22,All Ages,107,High systolic blood pressure,3,Rate,1990,7.024712338128143,9.85183301752319,4.715459312775266
29,Summary exposure value,179,Ethiopia,3,Both,22,All Ages,107,High systolic blood pressure,3,Rate,1990,7.471545604919815,9.544012390996928,5.710737904922052
29,Summary exposure value,74,Andorra,1,Male,22,All Ages,107,High systolic blood pressure,3,Rate,1992,36.040070646949395,44.128475913313395,29.035986355718897
29,Summary exposure value,74,Andorra,2,Female,22,All Ages,107,High systolic blood pressure,3,Rate,1992,28.300915230597802,37.489135222233706,21.0874584852296
29,Summary exposure value,74,Andorra,3,Both,22,All Ages,107,High systolic blood pressure,3,Rate,1992,32.459701767156396,38.412761995988305,27.060942903043
29,Summary exposure value,12,Lao People's Democratic Republic,1,Male,22,All Ages,107,High systolic blood pressure,3,Rate,1990,23.690664915141998,30.1827252050841,17.809463934099103
29,Summary exposure value,12,Lao People's Democratic Republic,2,Female,22,All Ages,107,High systolic blood pressure,3,Rate,1990,23.9614734770476,34.07900087908931,16.2228227454044
29,Summary exposure value,12,Lao People's Democratic Republic,3,Both,22,All Ages,107,High systolic blood pressure,3,Rate,1990,23.831503120551197,30.065245390767302,18.8838740975633
29,Summary exposure value,71,Australia,1,Male,22,All Ages,107,High systolic blood pressure,3,Rate,1992,29.454933071239502,31.755010637521096,27.340386123988097
29,Summary exposure value,71,Australia,2,Female,22,All Ages,107,High systolic blood pressure,3,Rate,1992,25.3704261191107,27.589944127739503,23.0249824170495
29,Summary exposure value,71,Australia,3,Both,22,All Ages,107,High systolic blood pressure,3,Rate,1992,27.3636849591072,29.260538018904196,25.605696745753303
29,Summary exposure value,15,Myanmar,1,Male,22,All Ages,107,High systolic blood pressure,3,Rate,1990,21.1888178501863,26.8247349848219,16.4078213014736
29,Summary exposure value,15,Myanmar,2,Female,22,All Ages,107,High systolic blood pressure,3,Rate,1990,21.703328549748697,29.6645772105796,15.3422296182448
29,Summary exposure value,15,Myanmar,3,Both,22,All Ages,107,High systolic blood pressure,3,Rate,1990,21.4531385686869,26.4135011812875,17.3200538142431
29,Summary exposure value,181,Madagascar,1,Male,22,All Ages,107,High systolic blood pressure,3,Rate,1994,20.5136041966775,26.1882317733906,15.6147439314337
29,Summary exposure value,181,Madagascar,2,Female,22,All Ages,107,High systolic blood pressure,3,Rate,1994,20.048174988479502,28.011733604649,14.551044455120001
29,Summary exposure value,181,Madagascar,3,Both,22,All Ages,107,High systolic blood pressure,3,Rate,1994,20.278247096847398,25.178192534395,16.1883590778136
29,Summary exposure value,108,Belize,1,Male,22,All Ages,107,High systolic blood pressure,3,Rate,1991,17.1419051097676,21.8865362455027,13.371819452335497
29,Summary exposure value,108,Belize,2,Female,22,All Ages,107,High systolic blood pressure,3,Rate,1991,16.8573867903906,23.7512542840702,11.914049608492801
29,Summary exposure value,108,Belize,3,Both,22,All Ages,107,High systolic blood pressure,3,Rate,1991,17.002582101082098,21.182033178027698,13.662466038720101
29,Summary exposure value,111,Dominican Republic,1,Male,22,All Ages,107,High systolic blood pressure,3,Rate,1991,18.222689331801394,23.267779920022,13.9504330815388
29,Summary exposure value,111,Dominican Republic,2,Female,22,All Ages,107,High systolic blood pressure,3,Rate,1991,17.9455738559678,25.5042822853092,12.123928903016001
